Informazioni cronologiche,Sesso,Età,Qual è il tuo ruolo principale nel mondo del fitness?  ,  Quante volte a settimana ti alleni in media?  ,"Attualmente, come monitori il tuo percorso (allenamento, dieta, prenotazioni)?","Se utilizzi una o più applicazioni, puoi scrivere il loro nome nel campo qui sotto:","Se usi (o hai usato) strumenti digitali, quanto trovi scomodo dover usare app diverse per allenamento, dieta e prenotazioni? ","Quanto riterresti utile o motivante avere il tuo professionista di fiducia (PT o Nutrizionista) direttamente ""connesso"" alla tua app, per aggiornare la scheda, la dieta e monitorare i tuoi progressi? ",Quanti clienti gestisci in media attualmente?  ,Quali strumenti usi principalmente per fornire schede/diete e comunicare con i clienti?  ,Qual è la tua più grande difficoltà gestionale ad oggi?  ,Quanto troveresti utile un'unica app che integri tutti questi servizi?  ,Quali tra queste funzionalità ritieni fondamentali?  ,"Se potessi migliorare o risolvere un aspetto poco pratico legato all'esperienza digitale in palestra, quale sarebbe?  ","Essendo un progetto universitario, stiamo ancora imparando a fare ricerca sugli utenti. Se hai trovato qualche domanda poco chiara, difficile da interpretare, o se hai consigli su come potremmo strutturare meglio questo questionario, scrivilo pure qui. Ogni feedback è oro per noi!  "
06/03/2026 14.22.40,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,3,4,,,,4,"Piano alimentare professionale, Programmi di allenamento personalizzati, Monitoraggio progressi con statistiche/grafici",,
06/03/2026 14.23.24,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,4,4,,,,4,"Programmi di allenamento personalizzati, Piano alimentare professionale, Prenotazione corsi/appuntamenti",,
06/03/2026 14.24.02,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Uso un'unica applicazione,,5,5,,,,5,"Monitoraggio progressi con statistiche/grafici, Programmi di allenamento personalizzati, Piano alimentare professionale",,
06/03/2026 14.28.41,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,"Uso carta, penna o note sul telefono",,4,5,,,,5,"Piano alimentare professionale, Monitoraggio progressi con statistiche/grafici, Comunicazione diretta tramite chat con il personal trainer/nutrizionista","la rapidità di inserimento dei dati, per questo al momento utilizzo le note ",
06/03/2026 14.31.48,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,"Uso carta, penna o note sul telefono",,3,4,,,,5,"Programmi di allenamento personalizzati, Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Monitoraggio progressi con statistiche/grafici",,
06/03/2026 14.37.31,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,"Uso carta, penna o note sul telefono",,,5,,,,5,"Prenotazione corsi/appuntamenti, Monitoraggio progressi con statistiche/grafici, Programmi di allenamento personalizzati",,
06/03/2026 14.45.02,Femmina,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Non monitoro nulla,,,3,,,,4,"Prenotazione corsi/appuntamenti, Programmi di allenamento personalizzati, Monitoraggio progressi con statistiche/grafici",,
06/03/2026 14.49.01,Femmina,18-24,Sono un professionista (Personal Trainer/Nutrizionista/Gestore),,,,,,Più di 30,Fogli Excel/PDF,Non ho difficoltà gestionali,5,"Monitoraggio progressi con statistiche/grafici, Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Programmi di allenamento personalizzati",Le persone,"Nessuna difficoltà, l’elfo oscuro è il mio preferito però"
06/03/2026 14.50.16,Femmina,45-54,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Non monitoro nulla,,,1,,,,4,"Prenotazione corsi/appuntamenti, Accesso rapido in struttura (es. QR Code, Tessera digitale), Comunicazione diretta tramite chat con il personal trainer/nutrizionista",,
06/03/2026 14.56.58,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),4-5,Uso 2 o più applicazione diverse,My fitness pal (Nutrizione) note del telefono (scheda),3,4,,,,4,"Piano alimentare professionale, Monitoraggio progressi con statistiche/grafici, Comunicazione diretta tramite chat con il personal trainer/nutrizionista",,
06/03/2026 15.03.37,Femmina,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Uso un'unica applicazione,App personalizzata fornita dal trainer,,4,,,,3,"Prenotazione corsi/appuntamenti, Programmi di allenamento personalizzati",,
06/03/2026 15.09.17,Maschio,35-44,Frequento (o ho frequentato) la palestra (Utente/Cliente),4-5,Uso 2 o più applicazione diverse,"Strava, Suunto, Garmin",3,3,,,,3,"Monitoraggio progressi con statistiche/grafici, Accesso rapido in struttura (es. QR Code, Tessera digitale)",,
06/03/2026 15.15.43,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,"Uso carta, penna o note sul telefono",,4,5,,,,5,"Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Monitoraggio progressi con statistiche/grafici, Piano alimentare professionale",,
06/03/2026 15.16.44,Femmina,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,3,5,,,,5,"Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Prenotazione corsi/appuntamenti, Programmi di allenamento personalizzati",,Siete bravissimi 
06/03/2026 15.17.42,Femmina,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Non monitoro nulla,,,5,,,,5,"Accesso rapido in struttura (es. QR Code, Tessera digitale), Programmi di allenamento personalizzati, Monitoraggio progressi con statistiche/grafici", ,
06/03/2026 15.18.20,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),1,Non monitoro nulla,,4,4,,,,4,"Monitoraggio progressi con statistiche/grafici, Programmi di allenamento personalizzati, Piano alimentare professionale",,
06/03/2026 15.19.21,Maschio,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,5,,,,,5,"Programmi di allenamento personalizzati, Accesso rapido in struttura (es. QR Code, Tessera digitale), Monitoraggio progressi con statistiche/grafici",,
06/03/2026 15.25.23,Femmina,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,Non monitoro nulla,,1,5,,,,5,"Monitoraggio progressi con statistiche/grafici, Programmi di allenamento personalizzati, Piano alimentare professionale",,
06/03/2026 15.39.29,Femmina,25-34,Frequento (o ho frequentato) la palestra (Utente/Cliente),4-5,Non monitoro nulla,,,5,,,,5,"Piano alimentare professionale, Monitoraggio progressi con statistiche/grafici, Programmi di allenamento personalizzati",,
06/03/2026 15.43.52,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,"Uso carta, penna o note sul telefono",,2,3,,,,3,"Programmi di allenamento personalizzati, Monitoraggio progressi con statistiche/grafici, Piano alimentare professionale",,
06/03/2026 15.44.30,Maschio,18-24,Frequento (o ho frequentato) la palestra (Utente/Cliente),2-3,"Uso carta, penna o note sul telefono",,,5,,,,4,"Programmi di allenamento personalizzati, Comunicazione diretta tramite chat con il personal trainer/nutrizionista, Monitoraggio progressi con statistiche/grafici",,
